basin_id,stations_num_swr_mean,stations_dens_swr_mean,stations_num_sp_mean,stations_dens_sp_mean,stations_num_t_mean,stations_dens_t_mean,stations_num_t_max,stations_dens_t_max,stations_num_ws_mean,stations_dens_ws_mean,stations_num_p_mean,stations_dens_p_mean,stations_num_t_min,stations_dens_t_min,stations_num_rh_mean,stations_dens_rh_mean
AT000125,8.0,0.033,11.0,0.046,19.0,0.079,20.0,0.083,18.0,0.074,18.0,0.074,20.0,0.083,18.0,0.074
AT000126,6.0,0.105,6.0,0.105,11.0,0.192,11.0,0.192,11.0,0.192,11.0,0.192,11.0,0.192,10.0,0.175
AT000127,8.0,0.036,10.0,0.045,15.0,0.067,16.0,0.072,15.0,0.067,16.0,0.072,16.0,0.072,14.0,0.063
AT000128,17.0,0.008,22.0,0.01,35.0,0.016,36.0,0.017,33.0,0.015,35.0,0.016,37.0,0.017,34.0,0.016
AT000129,2.0,0.014,2.0,0.014,7.0,0.049,7.0,0.049,7.0,0.049,7.0,0.049,7.0,0.049,6.0,0.042
AT000130,5.0,0.029,4.0,0.023,6.0,0.035,6.0,0.035,6.0,0.035,6.0,0.035,6.0,0.035,6.0,0.035
AT000131,3.0,0.11,3.0,0.11,4.0,0.147,4.0,0.147,4.0,0.147,4.0,0.147,4.0,0.147,4.0,0.147
AT000132,6.0,0.015,6.0,0.015,10.0,0.025,10.0,0.025,10.0,0.025,10.0,0.025,10.0,0.025,10.0,0.025
AT000133,2.0,0.03,2.0,0.03,5.0,0.076,5.0,0.076,2.0,0.03,10.0,0.151,5.0,0.076,4.0,0.06
AT000134,26.0,0.007,30.0,0.008,50.0,0.014,51.0,0.014,46.0,0.013,56.0,0.016,52.0,0.015,48.0,0.013
AT000135,11.0,0.026,14.0,0.033,21.0,0.049,21.0,0.049,14.0,0.033,38.0,0.089,21.0,0.049,20.0,0.047
AT000136,37.0,0.008,43.0,0.01,68.0,0.015,69.0,0.016,60.0,0.014,87.0,0.02,70.0,0.016,66.0,0.015
AT000137,5.0,0.166,7.0,0.232,7.0,0.232,7.0,0.232,7.0,0.232,8.0,0.265,7.0,0.232,7.0,0.232
AT000138,8.0,0.302,7.0,0.264,12.0,0.453,12.0,0.453,7.0,0.264,22.0,0.831,12.0,0.453,12.0,0.453
AT000139,4.0,0.033,5.0,0.042,10.0,0.083,10.0,0.083,10.0,0.083,11.0,0.091,10.0,0.083,10.0,0.083
AT000140,9.0,0.056,11.0,0.069,16.0,0.1,16.0,0.1,16.0,0.1,17.0,0.106,16.0,0.1,16.0,0.1
AT000141,9.0,0.06,10.0,0.066,10.0,0.066,10.0,0.066,11.0,0.073,11.0,0.073,10.0,0.066,10.0,0.066
AT000142,0.0,0.0,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008
AT000143,8.0,0.071,9.0,0.08,10.0,0.089,10.0,0.089,11.0,0.098,11.0,0.098,10.0,0.089,10.0,0.089
AT000144,6.0,0.052,7.0,0.06,9.0,0.077,9.0,0.077,9.0,0.077,11.0,0.095,9.0,0.077,9.0,0.077
AT000146,23.0,0.02,22.0,0.019,32.0,0.028,32.0,0.028,24.0,0.021,58.0,0.051,32.0,0.028,31.0,0.027
AT000147,3.0,0.074,3.0,0.074,7.0,0.172,7.0,0.172,7.0,0.172,8.0,0.196,7.0,0.172,7.0,0.172
AT000148,51.0,0.008,51.0,0.008,89.0,0.015,90.0,0.015,77.0,0.013,122.0,0.02,91.0,0.015,87.0,0.014
AT000149,3.0,0.043,3.0,0.043,6.0,0.085,6.0,0.085,6.0,0.085,9.0,0.128,6.0,0.085,6.0,0.085
AT000150,3.0,0.034,3.0,0.034,6.0,0.068,6.0,0.068,7.0,0.079,9.0,0.102,6.0,0.068,6.0,0.068
AT000151,2.0,0.03,3.0,0.045,7.0,0.104,7.0,0.104,7.0,0.104,9.0,0.134,7.0,0.104,7.0,0.104
AT000152,2.0,0.169,2.0,0.169,5.0,0.424,5.0,0.424,5.0,0.424,6.0,0.508,5.0,0.424,5.0,0.424
AT000153,3.0,0.022,4.0,0.03,9.0,0.066,9.0,0.066,9.0,0.066,11.0,0.081,9.0,0.066,9.0,0.066
AT000154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT000155,1.0,0.013,1.0,0.013,3.0,0.038,3.0,0.038,3.0,0.038,3.0,0.038,3.0,0.038,3.0,0.038
AT000156,4.0,0.097,4.0,0.097,10.0,0.243,10.0,0.243,9.0,0.218,9.0,0.218,10.0,0.243,10.0,0.243
AT000157,4.0,0.081,4.0,0.081,10.0,0.203,10.0,0.203,9.0,0.182,9.0,0.182,10.0,0.203,10.0,0.203
AT000158,5.0,0.033,5.0,0.033,12.0,0.08,12.0,0.08,11.0,0.073,11.0,0.073,12.0,0.08,12.0,0.08
AT000159,5.0,0.027,5.0,0.027,13.0,0.069,13.0,0.069,12.0,0.064,12.0,0.064,13.0,0.069,13.0,0.069
AT000160,1.0,0.032,1.0,0.032,3.0,0.096,3.0,0.096,3.0,0.096,3.0,0.096,3.0,0.096,3.0,0.096
AT000161,9.0,0.02,9.0,0.02,19.0,0.043,19.0,0.043,16.0,0.036,20.0,0.045,19.0,0.043,19.0,0.043
AT000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT000163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT000164,4.0,0.021,4.0,0.021,6.0,0.031,6.0,0.031,5.0,0.026,6.0,0.031,6.0,0.031,6.0,0.031
AT000165,5.0,0.068,4.0,0.054,7.0,0.095,7.0,0.095,5.0,0.068,7.0,0.095,7.0,0.095,7.0,0.095
AT000166,7.0,0.022,7.0,0.022,10.0,0.032,10.0,0.032,9.0,0.029,11.0,0.035,10.0,0.032,10.0,0.032
AT000167,4.0,0.074,5.0,0.092,6.0,0.111,6.0,0.111,6.0,0.111,6.0,0.111,6.0,0.111,6.0,0.111
AT000168,2.0,0.151,3.0,0.227,3.0,0.227,3.0,0.227,3.0,0.227,3.0,0.227,3.0,0.227,3.0,0.227
AT000169,4.0,0.058,5.0,0.073,5.0,0.073,5.0,0.073,5.0,0.073,5.0,0.073,5.0,0.073,5.0,0.073
AT000170,6.0,0.037,7.0,0.043,10.0,0.061,10.0,0.061,10.0,0.061,10.0,0.061,10.0,0.061,10.0,0.061
AT000171,4.0,0.059,5.0,0.074,7.0,0.103,7.0,0.103,7.0,0.103,8.0,0.118,7.0,0.103,7.0,0.103
AT000172,141.0,0.006,138.0,0.005,241.0,0.009,247.0,0.01,219.0,0.009,414.0,0.016,253.0,0.01,231.0,0.009
AT000173,4.0,0.282,5.0,0.352,6.0,0.422,6.0,0.422,6.0,0.422,6.0,0.422,6.0,0.422,6.0,0.422
AT000174,4.0,0.067,5.0,0.084,6.0,0.101,6.0,0.101,6.0,0.101,6.0,0.101,6.0,0.101,6.0,0.101
AT000175,4.0,0.031,5.0,0.039,6.0,0.047,6.0,0.047,6.0,0.047,6.0,0.047,6.0,0.047,6.0,0.047
AT000176,4.0,0.102,5.0,0.127,7.0,0.178,7.0,0.178,7.0,0.178,7.0,0.178,7.0,0.178,7.0,0.178
AT000177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012,0.0,0.0,0.0,0.0
AT000178,7.0,0.02,8.0,0.023,11.0,0.032,11.0,0.032,11.0,0.032,14.0,0.041,11.0,0.032,11.0,0.032
AT000179,5.0,0.037,5.0,0.037,7.0,0.052,7.0,0.052,7.0,0.052,15.0,0.112,7.0,0.052,7.0,0.052
AT000180,5.0,0.114,5.0,0.114,7.0,0.159,7.0,0.159,7.0,0.159,10.0,0.227,7.0,0.159,7.0,0.159
