provider_id,code_basins,provider_country,country_code,provider_name,license_redistribution,platform,num_stations,start_date,end_date,website,source_license,source_streamflow,source_gauges_infos,references,observations
HR_DHZ,HR,CROATIA,HR,Croatian Meteorological and Hydrological Service (DHZ),-,Website,,,,https://hidro.dhz.hr/,https://meteo.hr/proizvodi.php?section=katalog_zahtjevi&param=zahtjev_podaci_usluge,https://hidro.dhz.hr/,https://hidro.dhz.hr/,DHZ. Croatian Meteorological and Hydrological Service. https://hidro.dhz.hr/ (last access: 08 Oct 2023).,
HU_CONTACTFORM,HU,HUNGARY,HU,General Directorate of Water Managment (OVF),Processed data can be published,Contact form,,,,https://ovf.hu,https://ovf.hu/kozerdeku/adatigenyles,https://ovf.hu/kozerdeku/adatigenyles,https://ovf.hu/kozerdeku/adatigenyles,OVF. General Directorate of Water Management. https://ovf.hu/kozerdeku/adatigenyles (data received: 18 Aug 2023).,
HU_GRDC,HUGR,HUNGARY,HU,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
IE_EPA,IEEP,IRELAND,IE,Environmental Protection Agency (EPA),CC BY 4.0,Website,,,,https://epawebapp.epa.ie,https://epawebapp.epa.ie/hydronet/#Disclaimer,https://epawebapp.epa.ie/hydronet/#Flow,https://epawebapp.epa.ie/hydronet/#Flow,"EPA. Environmental Protection Agency, Ireland. https://epawebapp.epa.ie/hydronet/#Flow (last access: 27 Jun 2023).",
IE_OPW,IEOP,IRELAND,IE,Office of Public Works (OPW),CC BY 4.0,Website,,,,https://waterlevel.ie,https://waterlevel.ie/faq/#license,https://waterlevel.ie/hydro-data,https://waterlevel.ie/hydro-data,"OPW. Office of Public Works, Ireland. https://waterlevel.ie/hydro-data (last access: 27 Jun 2023).",
IS_GRDC,ISGR,ICELAND,IS,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
IT_ABR_CONTACTFORM,ITAB,ITALY,IT,"Centro Funzionale e Ufficio Idrologia, Idrografico, Mareografico- Agenzia di Protezione Civile della Regione Abruzzo",No-redistribution,Contact form,,,,https://www.regione.abruzzo.it,-,https://www.regione.abruzzo.it/content/annali-idrologici,https://www.regione.abruzzo.it/content/annali-idrologici,"APC Abruzzo. Centro Funzionale e Ufficio Idrologia, Idrografico, Mareografico: Agenzia di Protezione Civile della Regione Abruzzo, Italy (data received: 02 August 2023).",
IT_EMI,ITEM,ITALY,IT,Agenzia Prevenzione Ambiente Energia - Emilia-Romagna (ARPAE-Emilia-Romagna),-,Website,,,,https://simc.arpae.it/dext3r/,-,https://simc.arpae.it/dext3r/,https://www.arpae.it/it/temi-ambientali/meteo/report-meteo/annali-idrologici,"ARPAE Emilia-Romagna. Agenzia Prevenzione Ambiente Energia - Emilia-Romagna, Italy. https://simc.arpae.it/dext3r/  (last access: 04 Nov 2023).",
IT_GRDC,ITGR,ITALY,IT,Global Runoff Data Center (GRDC),No-redistribution,Website,,,,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN/01_GRDC/12_plcy/data_policy.html?nn=2862854,https://www.bafg.de/GRDC/EN,https://www.bafg.de/GRDC/EN,"GRDC. Global Runoff Data Center: River discharge data. Federal Institute of Hydrology, 56068 Koblenz, Germany. https://www.bafg.de/GRDC (last access: 16 Feb 2024).",
IT_ISPRA,ITIS,ITALY,IT,Institute Superiore per la Protezione e la Ricerca Ambientale (ISPRA),-,Website,,,,http://www.hiscentral.isprambiente.gov.it/hiscentral/,-,http://www.hiscentral.isprambiente.gov.it/hiscentral/hydromap.aspx?map=obsclient,http://www.hiscentral.isprambiente.gov.it/hiscentral/hydromap.aspx?map=obsclient,"ISPRA. Institute Superiore per la Protezione e la Ricerca Ambientale, Italy. http://www.hiscentral.isprambiente.gov.it/hiscentral/hydromap.aspx?map=obsclient, (last access: 30 December 2023).","The users should click on the gauges in the map and select ""More Info"" to download the data. Howerver, at the moment of this publication the website shows the ""StartDate"" as the same as the ""EndDate"", which we assume is a mistake. To download users should (1) click in ""More Info""; (2) when redirected to the next page users can alter the URL by deleting the part with ""startDate"" and ""endDate"" (""&startDate=XXXX-XX-XX&endDateXXXX-XX-XX"". (3) after refresh the page, users will have access to the full time-series. "
